Add                 "Ajouter"
Apply               "Appliquer"
Browse              "Naviguer"
BuildingMP4Dialog   "Compression MP4"
Cancel              "Annuler"
ClearHotkey         "Effacer"
Color               "Couleur"
Default             "Défaut"
Defaults            "Valeurs par défauts"
DeleteConfirm       "Êtes-vous sûr de vouloir supprimer les éléments sélectionnés ?"
Desktop             "Bureau"
Disable             "Désactiver"
EnterName           "Entrer un nom"
Gamma               "Gamma:"
GlobalSources       "Sources globales"
MoveDown            "Déplacer vers le bas"
MoveToBottom        "Déplacer en bas"
MoveToTop           "Déplacer en haut"
MoveUp              "Déplacer vers le haut"
NameExists          "'$1' existe déjà.  Entrez un nom différent"
None                "Aucune"
OK                  "OK"
Plugins             "Plugins"
Reconnecting        "Reconnexion..."
Refresh             "Rafraîchir"
Remove              "Supprimer"
Rename              "Renommer"
Copy                "Copier"
Scene               "Scène"
Settings            "Paramètres"
StreamReport        "Rapport de flux"

BuildingMP4Dialog.Progress  "Compression MP4, veuillez patienter..."

Connection.CouldNotConnect  "N'a pas pu se connecter au serveur"

Connection.Disconnected     "Déconnecté par le serveur"
Connection.InvalidStream    "Chaîne ou clef de streaming invalide"

DeleteConfirm.Title         "Supprimer les éléments sélectionnés?"

EndingDelay.TimeLeft        "Temps restant: $1"

GlobalSources.DeleteConfirm "Si vous supprimez une source globale, elle sera supprimée de la scène qu'elle utilise.  Êtes-vous sûr de vouloir continuer ?"

Listbox.Add                 "Ajouter $1"
Listbox.Center              "Centrer"
Listbox.CenterHorizontally  "Centrer Horizontalement"
Listbox.CenterVertically    "Centrer Verticalement"
Listbox.MoveTop             "Déplacer en haut"
Listbox.MoveRight           "Déplacer à droite"
Listbox.MoveBottom          "Déplacer en bas"
Listbox.MoveLeft            "Déplacer à gauche"
Listbox.Config              "Propriétés"
Listbox.FitToScreen         "Étirer à l'écran"
Listbox.Positioning         "Position/Taille"
Listbox.ResetSize           "Réinitialiser la taille"
Listbox.SetHotkey           "Utiliser un raccourci clavier"

MainMenu.File       "&Fichier"
MainMenu.Help       "&Aide"
