Add                 "Hozzáad"
Apply               "Alkalmaz"
Browse              "Tallózás"
BuildingMP4Dialog   "MP4 Építése"
Cancel              "Mégse"
ClearHotkey         "Törlés"
Color               "Szín"
Default             "Alapértelmezett"
DeleteConfirm       "Biztos vagy benne hogy törölni akarod a kijelőlt tételt?"
Desktop             "Asztal"
Disable             "Litiltás"
EndingDelay         "Késleltető Stream lekapcsolása..."
EnterName           "Írj be egy nevet"
GlobalSources       "Globális forrás"
IncompatibleModules "Inkompatibilis becsatlakozó modult észlelt az OBS folyamat. Bozonyosodj meg arról hogy az OBS hozzá van adva a az olyan felvevő programok kizárások listájához mint DXTory, FRAPS etc.\r\n\r\nA kizárási listák beállításának módosítása után lehet hogy újra kell indítania a programokat, hogy a változtatások életbe lépjenek."
MicrophoneFailure   "Hiba történt a mikrofon hang inicializálásakor - lehet hogy nincs bedugva, vagy egy másik program exkluzív módban használja."
MoveDown            "Mozgatás le"
MoveToBottom        "Mozgatás az aljára"
MoveToTop           "Mozgatás a tetejére"
MoveUp              "Mozgatás fel"
NameExists          "'$1' már létezik.  Kérlek próbálj egy másik nevet"
None                "Semmi"
OK                  "OK"
Plugins             "Bővítmények"
Reconnecting        "Újracsatlakozás..."
Remove              "Töröl"
Rename              "Átnevez"
Scene               "Jelenet"
Settings            "Beállítások"
StreamReport        "Stream jelentés"

BuildingMP4Dialog.Progress  "MP4 építése, kérlek várj..."

Connection.CouldNotConnect  "Nem sikerült a szerverhez csatlakozni"
Connection.CouldNotParseURL "Nem sikerült az RTMP URL lehívása"
Connection.Disconnected     "Szétkapcsolódva a szervertől"
Connection.InvalidStream    "Érvénytelen stream csatorna / stream kulcs"

DeleteConfirm.Title "Kijelőlt tételeket töröljük?"

EndingDelay.TimeLeft    "Maradt idő: $1"

GlobalSources.DeleteConfirm "Ha törölsz egy globális forrást minden jelenetből törlődni fog amiben benne van. Biztos vagy benne hogy folytassuk?"

Listbox.Add         "Hozzáad $1"
Listbox.Center      "Középre"
Listbox.Config      "Tulajdonságok"
Listbox.FitToScreen "Képernyő nagyságú"
Listbox.ResetSize   "Méret visszaállítása"
Listbox.SetHotkey   "Gyorsbillentyű beállítása"

MainMenu.File       "&Fájl"
MainMenu.Help       "&Segítség"
MainMenu.Settings   "&Beállítások"

MainMenu.File.Exit  "&Kilépés"

MainMenu.Help.Contents      "&Súgó"
MainMenu.Help.VisitWebsite  "Weboldal meglátogatása"

MainMenu.Settings.OpenConfigFolder  "B&eállítási Mappa Megnyitása"
MainMenu.Settings.OpenLogFolder     "&Naplózó Mappa Megnyitása"

MainWindow.Dashboard        "Műszerfal"
MainWindow.DroppedFrames    "Ejtett Képkockák:"
MainWindow.Exit             "Kilépés"
MainWindow.Plugins          "Bővítmények"
MainWindow.SceneEditor      "Jelenet Módosítása"
MainWindow.Scenes           "Jelenetek:"
MainWindow.Sources          "Források:"
MainWindow.StartStream      "Stream indítása"
MainWindow.StopStream       "Stream leállítása"
MainWindow.StopTest         "Előnézet leállítása"
MainWindow.TestStream       "Stream Előnézet"

Plugins.Configure   "Beállít"
Plugins.Description "Leírás:"
Plugins.Filename    "Fájl név:"

Reconnecting.Retrying   "Sikertelen újracsatlakozás.  Újra próbálkozás"

RenderView.EnableView   "Nézet bekapcsolva"

Scene.Hotkey            "Jelenet Gyorsbillentyű"
Scene.MissingSources    "Nem tudtam betölteni az összes képi forrást érvénytelen beállítás, vagy hiányzó bővítmény miatt."

Scene.Hotkey.AlreadyInUse   "Ez a gyorsbillentyű már használatban van."
Scene.Hotkey.Hotkey         "Gyorsbillentyű:"

Settings.Advanced           "Haladó"
Settings.Audio              "Hang"
Settings.Encoding           "Kódolás"
Settings.General            "Általános"
Settings.Info               "Ezek a beállítások nem lépnek életbe a következő stream megkezdéséig."
Settings.Publish            "Adás Beállítások"
Settings.SaveChangesPrompt  "Szeretnéd menteni és alkalmazni a változtatásokat?"
Settings.SaveChangesTitle   "Beállítások alkalmazzuk?"
Settings.Video              "Videó"

Settings.Advanced.BindToIP                          "Kimeneti ponthoz rendelés:"
Settings.Advanced.Network                           "Hálózat"
Settings.Advanced.PresetWarning                     "VIGYÁZAT! Az x264 beállítás megváltoztatása komoly problémákat okozhat a stream minőségében és a processzor terhelésében.\r\n\r\n Ne változtasd meg a beállítást, csak ha tisztában vagy streamre kiható következményekkel.\r\n\r\nMinden ismertetőt ami a megváltoztatását javasolja kezelj gyanakvással. Szinte semmilyen körülmények között nem kell ezt a beállítást elállítani az alapról(veryfast)\r\n\r\nTeljesen biztos vagy benne hogy meg akarod változtatni a beállítást?"
Settings.Advanced.ProcessPriority                   "Folyamat Prioritás szint"
Settings.Advanced.SendBufferSize                    "Küldő Buffer Méret:"
Settings.Advanced.UnlockHigherFPS                   "61-120 FPS közötti érték engedélyezése a videó beállításokban"
Settings.Advanced.UseCBR                            "CBR Használata"
Settings.Advanced.UseHighQualityResampling          "Használjon magasabb minőségű mintavételt"
Settings.Advanced.UseHighQualityResamplingTooltip   "Amikor hang alrendszer kényszerítve van a mintavételezésre használj szinkronizált interpolációt a lineáris interpoláció helyett. Kicsit több processzor teljesítményt igényel."
Settings.Advanced.UseMultithreadedOptimizations     "Használj Többszálas Optimalizálást"
Settings.Advanced.UseSendBuffer                     "Használj Küldő Buffert"
Settings.Advanced.UseSendBufferTooltip              "A küldő buffer miatt a hálózati adat egy megadott csomag nagyságig tárolódjon mielőtt elküldi. Ennek a használata lényegesen megnövelheti a hálózat teljesitményét, de megnöveli a stream késési idejét. Ajánlott ha a maximum szegmens méreted többszöröse (általában 1460)"
Settings.Advanced.UseSyncFix                        "Videó/Audió szinkron javítás bekapcsolása"
Settings.Advanced.UseSyncFixTooltip                 "Ritka esetkeben bizonyos processzorok és alaplapok rendelkezhetnek időzítési hibákkal amik szinkronizálási problémákhoz vezethetnek. Ez javítja az időjelölést a procszor időzítése helyett. Elég pontos, de a bizonyosodj meg, hogy a maximum FPSedet ahhoz igazítod aminél rögzítesz a képkocka hibák elkerőlése végett."
Settings.Advanced.VideoEncoderCPUTradeoff           "x264 CPU Beállítás:"
Settings.Advanced.VideoEncoderCPUTradeoffToolTip    "Ennek az értéknek a magasabbra állítása könnyít a proceszzor terhelésén minőségi romlásért cserében. Ugyanakkor az érték csökkentése növeli a processzor terhelését jobb minőség elérésének érdekében.\r\n\r\nAjánlott: Very Fast"
Settings.Advanced.VideoEncoderSettings              "Egyedi x264 Kódoló Beállítás"
Settings.Advanced.VideoEncoderSettingsTooltip       "Ez engedélyezi egyedi x264 kódolási beállítások hozzáadását. A használható format [parameter]=[value] (pl.: \"vbv-maxrate=1000 vbv-bufsize=1000\")."

Settings.Audio.Device               "Mikrofon/Kiegészítő Hang Eszköz:"
Settings.Audio.ForceMicMono         "Mikrofon/Kiegészítő Mono kényszerítése:"
Settings.Audio.MicBoost             "Mik/Kieg erősítő (szorzó):"
Settings.Audio.MicTimeOffset        "Mik idő eltolás (milliszekundum):"
Settings.Audio.MuteDesktopHotkey    "Asztal némítás gyorsbillentyű"
Settings.Audio.MuteMicHotkey        "Mikrofon némítás gyorsbillentyű:"
Settings.Audio.PushToTalkDelay      "Push-to-talk késleltetés (milliszekundum):"
Settings.Audio.PushToTalkHotkey     "Push-to-talk használata:"

Settings.Encoding.Audio "Hang Kódolás"
Settings.Encoding.Video "Videó Kódolás"

Settings.Encoding.Audio.Bitrate "Bitrate:"
Settings.Encoding.Audio.Codec   "Kodek:"
Settings.Encoding.Audio.Format  "Formátum:"

Settings.Encoding.Video.BufferSize          "Buffer méret (kbit):"
Settings.Encoding.Video.BufferSizeTooltip   "A buffer méret határozza meg hogy mennyi adatot halmozol fel. Ez a beállítás a nagymozgással járó jelenetekre van hatással leinkább. Ha nem tudod mennyire állítsd, állítsd annyira mint a bitrated. További információért nézd meg a Súgót."
Settings.Encoding.Video.MaxBitRate          "Max Bitrate (kb/s):"
Settings.Encoding.Video.MaxBitRateTooltip   "Ez határozza meg a videó maximális bitratjét. Bár az átlag bitrated megfog eggyezni az értékkel, ez az érték a buffer méretedre épül. Általában ezt az értéket a a feltöltési sebességed alatt kell tartanod\r\n\r\nHasználd a speedtest.net-et hogy megtudd mekkora a feltöltési sebességed."
Settings.Encoding.Video.Quality             "Minőségi egyensúly:"
Settings.Encoding.Video.QualityTooltip      "Ez a beállítás megpróbálja a streamed minőségét a bitrated és a buffered alapján egyensúlyozni. Ha ezt magasra állítod alacson bitrattel akkor feláldozod a nagy mozgásos jelenetek minőségét az állóképekért, és ez inkonzisztens minőséget eredményez."

Settings.General.Add            "Új hozzáadása"
Settings.General.ConfirmDelete  "Biztos hogy törölni akarod '$1' profilt?"
Settings.General.InvalidName    "A profil nevek nem használhatják a következő karaktereket:\r\n\\ / : * ? \" < > |"
Settings.General.Language       "Nyelv:"
Settings.General.Profile        "Beállítás Profil:"
Settings.General.Restart        "A nyelv megváltoztatása az OBS újraindítását igényli.\r\n\r\n..Bár ha a nyelvet változtatod akkor gondolom nem érted mi van ide írva."

Settings.Publish.AutoReconnect          "Auto-Újracsatlakozás:"
Settings.Publish.AutoReconnectTimeout   "Auto-Újracsatlakozás időtúllépés:"
Settings.Publish.ChannelName            "Csatorna Név:"
