Add                 "Papildyti"
Apply               "Taikyti"
Browse              "Naršyti"
BuildingMP4Dialog   "Taikyti MP4"
Cancel              "Atšaukti"
ClearHotkey         "Išvalyti"
Color               "Spalva"
Default             "Numatytasis"
DeleteConfirm       "Ar jus tikrai norite ištrinti pasirinktus elementus ?"
Desktop             "Darbalaukis"
Disable             "Sugadinti"
EndingDelay         "Paskutinysis Delayed Stream..."
EnterName           "Iveskite varda"
GlobalSources       "Global šaltiniai"
IncompatibleModules "Nesuderinamos kablys moduliai buvo aptikta OB procesa. Prašome isitikinkite, kad Pastebejimas papildomas ignoruojamu surinkimo programu, tokiu kaip DXTory, Fraps, ir tt \r\n\r\nKai keiciasi ignoruoti nustatymus, jums gali tekti iš naujo paleisti Pastebejimas ir bet kokio kablio surinkimo programos pakeitimai butu poveiki. "
MicrophoneFailure "Ivyko klaida Inicijuojama mikrofono garsa - tai butu ne ijungtas, ar kita programa gali ji naudoti išskirtinis budas."
MoveDown            "Žemyn"
MoveToBottom        "Perkelti i apacia"
MoveToTop           "Perkelti i viršu"
MoveUp              "Perkelti"
NameExists          "'$1' jau egzistuoja. Prašome ivesti kita pavadinima"
None                "Ne vienas"
OK                  "Gerai"
Plugins             "Iskiepiai"
Reconnecting        "Jungiamasi iš naujo..."
Remove              "Pašalinti"
Rename              "Pervardyti"
Scene               "Scene"
Settings            "Nustatymai"
StreamReport        "Stream Pranešti"

BuildingMP4Dialog.Progress  "Taikomas MP4, prašome palaukti..."

Connection.CouldNotConnect  "Nepavyko prisijungti prie serverio"
Connection.CouldNotParseURL "Nepavyko apdoroti RTMP URL"
Connection.Disconnected     "Atjungtas nuo serverio"
Connection.InvalidStream    "Neteisingas srauto kanalas / stream raktas"

DeleteConfirm.Title "Pašalinti pasirinktus elementus?"

EndingDelay.TimeLeft    "Liko Laiko: $1"

GlobalSources.DeleteConfirm "Jei ištrinsite Global šaltinis, jis bus pašalintas iš bet kurios scenos, kad ji naudoja. Ar tikrai norite testi?"

Listbox.Add         "Papildyti $1"
Listbox.Center      "Centras"
Listbox.Config      "Savybes"
Listbox.FitToScreen "Per visa ekrana"
Listbox.ResetSize   "Atstatyti dydi"
Listbox.SetHotkey   "Nustatyti klaviša"

MainMenu.File       "&Failas"
MainMenu.Help       "&Pagalba"
MainMenu.Settings   "&Nustatymai"

MainMenu.File.Exit  "E&xit"

MainMenu.Help.Contents      "&Contents"
MainMenu.Help.VisitWebsite  "Aplankykite svetaineje"

MainMenu.Settings.OpenConfigFolder  "Open &Configuration Folder"
MainMenu.Settings.OpenLogFolder     "Open &Log Folder"

MainWindow.Dashboard        "Prietaisu skydas"
MainWindow.DroppedFrames    "Sumažejo remeliai:"
MainWindow.Exit             "Išeiti"
MainWindow.Plugins          "Iskiepiai"
MainWindow.SceneEditor      "Montuoti Scene"
MainWindow.Scenes           "Scenes:"
MainWindow.Sources          "Šaltiniai:"
MainWindow.StartStream      "Pradeti Streaming"
MainWindow.StopStream       "Stop Streaming"
MainWindow.StopTest         "Sustabdyti peržiura"
MainWindow.TestStream       "Peržiura Stream"

Plugins.Configure   "Konfiguruoti"
Plugins.Description "Aprašymas:"
Plugins.Filename    "Failo vardas:"

Reconnecting.Retrying   "Nepavyko prisijungti iš naujo. Bandoma iš naujo"

RenderView.EnableView   "ijungti Peržiureti"

Scene.Hotkey            "Scene Klavišas"
Scene.MissingSources    "Negalejo ikelti visus vaizdo šaltinius, del neteisingi nustatymus, arba trukstamu papildiniu"

Scene.Hotkey.AlreadyInUse   "Šis klavišas jau naudojamas."
Scene.Hotkey.Hotkey         "Klavišas:"

Settings.Advanced           "Pažangus"
Settings.Audio              "Garsas"
Settings.Encoding           "Kodavimas"
Settings.General            "Bendras"
Settings.Info               "Šie nustatymai bus taikomi tik tada, kai kita karta pradesite transliacija."
Settings.Publish            "Transliacijos parametrai"
Settings.SaveChangesPrompt  "Noretumete išsaugoti ir taikyti savo pakeitimus?"
Settings.SaveChangesTitle   "Taikyti nustatymus?"
Settings.Video              "Vaizdas"

Settings.Advanced.BindToIP                          "Ipareigoti sasaja:"
Settings.Advanced.Network                           "Tinklas"
Settings.Advanced.PresetWarning                     "DEMESIO! Pakeitus x264 derini gali tureti stipru neigiama poveiki jusu sraute, kokybes ir procesoriaus naudojimas. \r\n\r\nAr pakeisti ši nustatyma, išskyrus atvejus, kai jus visiškai suprantate, kaip iš anksto turi itakos jusu srauto pasekmes. \r\n\r\nTreat vadovus, kad pakeisdami atsargiai. Jus beveik niekada reikia pakeisti šia parinkti iš numatytojo (veryfast) \r\n\r\nAr tikrai norite pakeisti iš anksto?"
Settings.Advanced.ProcessPriority                   "Proceso prioritetas klase"
Settings.Advanced.SendBufferSize                    "Siusti buferio dydis:"
Settings.Advanced.UnlockHigherFPS                   "Leisti 61-120 FPS iraša vaizdo parametrus"
Settings.Advanced.UseCBR                            "Naudoti CBR"
Settings.Advanced.UseHighQualityResampling          "Naudokiti aukštesnes kokybes rezoliucija"
Settings.Advanced.UseHighQualityResamplingTooltip   "Kai garso posistemis yra priverstas resample naudoja Sinc interpoliacija vietoj tiesines interpoliacijos resample garsa. Reikalauja šiek tiek daugiau CPU."
Settings.Advanced.UseMultithreadedOptimizations     "Naudokite daugelio sriegiais Optimizaciju"
Settings.Advanced.UseSendBuffer                     "Naudokite Siusti buferis"
Settings.Advanced.UseSendBufferTooltip              "Siusti buferis sukelia visus tinklo duomenu BUFFERED iki konkreciu paketiniu dydžiu prieš siunciant. Naudojant tai labai padidina tinklo pralaiduma, bet leis srautas šiek tiek daugiau uždelsto \r\n\r\nRecommended:., Jusu maksimalus segmento dydis kartotinis (paprastai 1460)"
Settings.Advanced.UseSyncFix                        "Naudokite Video / Audio Sync "Fix"
Settings.Advanced.UseSyncFixTooltip                 "Tais retais atvejais, kai CPU ir Portatiles gali tureti laiko skaiciavimo klaidas, kurios gali sukelti sinchronizavimo problemas upelio. Šis pakeitimas apskaiciuoja laiko žymes, o ne naudojant procesoriaus laiko. Tai gana tiksli, bet tiesiog isitikinkite, kad nustatyti maksimalius FPS panašus i tai, ka užfiksuoti užkirsti kelia galimam remo drebejimas."
Settings.Advanced.VideoEncoderCPUTradeoff           "x264 CPU iš anksto:"
