Add                 "Lägg till"
Apply               "Bekräfta"
Browse              "Bläddra"
BuildingMP4Dialog   "Bygger MP4"
Cancel              "Avbryt"
ClearHotkey         "Rensa"
Color               "Färg"
Default             "Grundinställning"
DeleteConfirm       "Vill du radera de valda objekten?"
Desktop             "Skrivbord"
Disable             "Avaktivera"
EndingDelay         "Avslutar fördröjd stream..."
EnterName           "Ange ett namn"
GlobalSources       "Globala källor"
IncompatibleModules "Ej kompatibla hookmoduler upptäcktes i OBS-processen. Vänligen försäkra dig om att OBS är tillagd i ignorelistan i dessa captureprogram, såsom DXtory, FRAPS och dylikt.\r\n\r\nNär du ändrat undantagsinställningarna i dessa program kan det vara nödvändigt att starta om OBS och eventuella program med hookmoduler för att ändringarna ska träda i kraft."
MicrophoneFailure   "Ett fel uppstod när mikrofonen skulle initialiseras. Det kan hända att den inte är inkopplad, eller att ett annat program använder den i exklusivt läge."
MoveDown            "Flytta ned"
MoveToBottom        "Flytta längst ned"
MoveToTop           "Flytta längst upp"
MoveUp              "Flytta upp"
NameExists          "'$1' finns redan. Var god ange ett annat namn."
None                "Ingen"
OK                  "OK"
Plugins             "Plugins"
Reconnecting        "Återanslutning sker..."
Remove              "Ta bort"
Rename              "Byt namn"
Scene               "Scen"
Settings            "Inställningar"
StreamReport        "Streamrapport"

BuildingMP4Dialog.Progress  "Bygger MP4, var god vänta..."

Connection.CouldNotConnect  "Kunde inte ansluta till servern"
Connection.CouldNotParseURL "Tolkning av RTMP-URL misslyckades"
Connection.Disconnected     "Nedkopplad från servern"
Connection.InvalidStream    "Stream channel/stream key är inte giltig"

DeleteConfirm.Title "Ta bort valda objekt?"

EndingDelay.TimeLeft    "Tid som återstår: $1"

GlobalSources.DeleteConfirm "Om du tar bort en global källa tas den bort från alla scener där den används. Är du säker på att du vill fortsätta?"

Listbox.Add         "Lägg till $1"
Listbox.Center      "Centrera"
Listbox.Config      "Egenskaper"
Listbox.FitToScreen "Passa till skärm"
Listbox.Positioning "Position/Storlek"
Listbox.ResetSize   "Återställ storlek"
Listbox.SetHotkey   "Ange snabbtangent"

MainMenu.File       "&Fil"
MainMenu.Help       "&Hjälp"
MainMenu.Settings   "In&ställningar"
MainMenu.Settings.AlwaysOnTop "&Alltid i förgrunden"

MainMenu.File.Exit  "&Avsluta"

MainMenu.Help.Contents      "&Innehåll"
MainMenu.Help.VisitWebsite  "Besök webbplats"

MainMenu.Settings.OpenConfigFolder  "Öppna mappen för &inställningar"
MainMenu.Settings.OpenLogFolder     "Öppna mappen för &loggar"

MainWindow.Dashboard        "Dashboard"
MainWindow.DroppedFrames    "Tappade bildrutor:"
MainWindow.Exit             "Avsluta"
MainWindow.Plugins          "Plugins"
